País,Acumulado ,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1T 2025 P,2T 2025 P,3T 2025 P
República Dominicana,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,1,-,1,-,-,-,-,-,-,-,-,1,-,-
Rumania,17,-,-,-,2,-,-,-,-,1,1,2,-,-,-,-,-,1,1,2,1,1,1,-,1,-,2,-,-,-,-,-,-,-,1,-
"Rusia, (Federación de)",158,-,3,2,-,-,-,1,-,2,-,2,3,1,8,4,5,2,-,3,6,13,2,10,5,8,13,9,4,16,13,12,7,4,-,4
Rwanda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Kitts y Nevis,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,1,-,2,-,-,-,-,-,-
Samoa,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-
San Marino,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
San Vicente y las Granadinas,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,4,3,-,-,-,-,-,-,-,-,-,-,-,-
Santa Lucía,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Santo Tomé y Príncipe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Serbia,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-
Seychelles,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
Sierra Leona,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Singapur,336,-,-,-,-,-,-,-,-,-,-,2,-,-,-,4,11,12,12,5,12,22,16,39,39,20,17,17,16,21,15,21,25,5,5,12
"Siria, (Rep. Árabe)",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Somalia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sri Lanka,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-
